asset,model_name,n_prediction_rows,first_prediction_timestamp,last_prediction_timestamp,n_rows_overlapping_CP,n_rows_used_in_CP_comparison,timestamps_exactly_match_CP,actual_target_values_match_CP
AAPL,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
FXI,CP_REPO_FRESH,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,HAR_RV,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,RAW_PM,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,RAW_CP_REPO_PLUS_PM,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_OPS_R,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_RIDGE_OPS_R,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_LRPM,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_RECENT_SLOPE,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_HAAR_SHAPE,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_OPS_C,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_RIDGE_OPS_C,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_GATED_RIDGE_OPS_C,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_OPS_HG,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,RANDOM_RESIDUES_PLACEBO_REPO,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,SHUFFLED_LAG_PM_PLACEBO_REPO,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,RANDOM_GATE_PLACEBO_REPO,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,RIDGE_AR22,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,CP_REPO_OPS_K,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
GLD,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,HAR_RV,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,RAW_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,RAW_CP_REPO_PLUS_PM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_RIDGE_OPS_R,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_LRPM,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_RECENT_SLOPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_HAAR_SHAPE,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_GATED_RIDGE_OPS_C,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_OPS_HG,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,RANDOM_RESIDUES_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,SHUFFLED_LAG_PM_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,RANDOM_GATE_PLACEBO_REPO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,RIDGE_AR22,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_OPS_K,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
